index,Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
674,2003-04-26,China,2753,122,1285
675,2003-04-26,"Hong Kong SAR, China",1527,121,632
676,2003-04-26,"Taiwan, China",49,0,25
677,2003-04-26,France,5,0,1
678,2003-04-26,Germany,7,0,6
679,2003-04-26,India,1,0,1
680,2003-04-26,Indonesia,1,0,1
681,2003-04-26,Italy,4,0,3
682,2003-04-26,Japan,2,0,0
683,2003-04-26,Kuwait,1,0,1
684,2003-04-26,Malaysia,5,2,2
685,2003-04-26,Mongolia,5,0,3
686,2003-04-26,Philippines,4,2,1
687,2003-04-26,Republic of Ireland,1,0,1
688,2003-04-26,Romania,1,0,1
689,2003-04-26,Singapore,198,21,126
690,2003-04-26,South Africa,1,0,0
691,2003-04-26,Spain,1,0,1
692,2003-04-26,Sweden,3,0,2
693,2003-04-26,Switzerland,1,0,1
694,2003-04-26,Thailand,7,2,5
695,2003-04-26,United Kingdom,6,0,6
696,2003-04-26,United States,41,0,0
697,2003-04-26,Viet Nam,63,5,53
698,2003-04-28,Brazil,2,0,2
699,2003-04-28,Bulgaria,1,0,0
700,2003-04-28,Canada,142,18,77
701,2003-04-28,China,2914,131,1299
702,2003-04-28,"Hong Kong SAR, China",1557,138,710
703,2003-04-28,"Taiwan, China",66,0,25
704,2003-04-28,France,5,0,1
705,2003-04-28,Germany,7,0,6
706,2003-04-28,India,1,0,1
707,2003-04-28,Indonesia,1,0,1
708,2003-04-28,Italy,8,0,3
709,2003-04-28,Japan,2,0,0
710,2003-04-28,Kuwait,1,0,1
711,2003-04-28,Malaysia,6,2,2
712,2003-04-28,Mongolia,5,0,3
713,2003-04-28,Philippines,4,2,1
714,2003-04-28,Republic of Ireland,1,0,1
715,2003-04-28,Romania,1,0,1
716,2003-04-28,Singapore,199,23,137
717,2003-04-28,South Africa,1,0,0
718,2003-04-28,Spain,1,0,1
719,2003-04-28,Sweden,3,0,2
720,2003-04-28,Switzerland,1,0,1
721,2003-04-28,Thailand,7,2,5
722,2003-04-28,United Kingdom,6,0,6
723,2003-04-28,United States,41,0,0
724,2003-04-28,Viet Nam,63,5,53
725,2003-04-29,Brazil,2,0,2
726,2003-04-29,Bulgaria,1,0,0
727,2003-04-29,Canada,146,20,86
728,2003-04-29,China,3303,148,1322
729,2003-04-29,"Hong Kong SAR, China",1572,150,759
730,2003-04-29,"Taiwan, China",66,0,25
731,2003-04-29,France,5,0,1
732,2003-04-29,Germany,7,0,6
733,2003-04-29,India,1,0,1
734,2003-04-29,Indonesia,1,0,1
735,2003-04-29,Italy,9,0,4
736,2003-04-29,Japan,2,0,0
737,2003-04-29,Kuwait,1,0,1
738,2003-04-29,Malaysia,6,2,3
739,2003-04-29,Mongolia,5,0,3
740,2003-04-29,Philippines,4,2,1
741,2003-04-29,Republic of Ireland,1,0,1
742,2003-04-29,Republic of Korea,1,0,0
743,2003-04-29,Romania,1,0,1
744,2003-04-29,Singapore,201,24,139
745,2003-04-29,South Africa,1,0,0
746,2003-04-29,Spain,1,0,1
747,2003-04-29,Sweden,3,0,2
748,2003-04-29,Switzerland,1,0,1
749,2003-04-29,Thailand,7,2,5
750,2003-04-29,United Kingdom,6,0,6
751,2003-04-29,United States,41,0,0
752,2003-04-29,Viet Nam,63,5,53
753,2003-04-30,Brazil,2,0,2
754,2003-04-30,Bulgaria,1,0,0
755,2003-04-30,Canada,148,20,87
756,2003-04-30,China,3460,159,1332
757,2003-04-30,"Hong Kong SAR, China",1589,157,791
758,2003-04-30,"Macao SAR, China",1,0,0
759,2003-04-30,"Taiwan, China",78,1,25
760,2003-04-30,France,5,0,1
761,2003-04-30,Germany,7,0,7
762,2003-04-30,Indonesia,2,0,1
763,2003-04-30,Italy,9,0,4
764,2003-04-30,Japan,2,0,0
765,2003-04-30,Kuwait,1,0,1
766,2003-04-30,Malaysia,6,2,3
767,2003-04-30,Mongolia,6,0,3
768,2003-04-30,Philippines,4,2,1
769,2003-04-30,Republic of Ireland,1,0,1
770,2003-04-30,Republic of Korea,1,0,0
771,2003-04-30,Romania,1,0,1
772,2003-04-30,Singapore,201,24,139
773,2003-04-30,South Africa,1,0,0
774,2003-04-30,Spain,1,0,1
775,2003-04-30,Sweden,3,0,2
776,2003-04-30,Switzerland,1,0,1
777,2003-04-30,Thailand,7,2,5
778,2003-04-30,United Kingdom,6,0,6
779,2003-04-30,United States,52,0,0
780,2003-04-30,Viet Nam,63,5,53
781,2003-05-01,Brazil,2,0,2
782,2003-05-01,Bulgaria,1,0,0
783,2003-05-01,Canada,147,20,87
784,2003-05-01,China,3638,170,1351
785,2003-05-01,"Hong Kong SAR, China",1600,162,834
786,2003-05-01,"Macao SAR, China",1,0,0
787,2003-05-01,"Taiwan, China",89,3,25
788,2003-05-01,France,5,0,1
789,2003-05-01,Germany,7,0,7
790,2003-05-01,Indonesia,2,0,1
791,2003-05-01,Italy,9,0,4
792,2003-05-01,Japan,2,0,0
793,2003-05-01,Kuwait,1,0,1
794,2003-05-01,Malaysia,6,2,3
795,2003-05-01,Mongolia,6,0,3
796,2003-05-01,Philippines,4,2,1
797,2003-05-01,Poland,1,0,0
798,2003-05-01,Republic of Ireland,1,0,1
799,2003-05-01,Republic of Korea,1,0,0
800,2003-05-01,Romania,1,0,1
801,2003-05-01,Singapore,201,25,143
802,2003-05-01,South Africa,1,0,0
803,2003-05-01,Spain,1,0,1
804,2003-05-01,Sweden,3,0,2
805,2003-05-01,Switzerland,1,0,1
806,2003-05-01,Thailand,7,2,5
807,2003-05-01,United Kingdom,6,0,6
808,2003-05-01,United States,54,0,23
809,2003-05-01,Viet Nam,63,5,56
810,2003-05-02,Brazil,2,0,2
811,2003-05-02,Bulgaria,1,0,0
812,2003-05-02,Canada,149,22,93
813,2003-05-02,China,3799,181,1372
814,2003-05-02,"Hong Kong SAR, China",1611,170,878
815,2003-05-02,"Macao SAR, China",1,0,0
816,2003-05-02,"Taiwan, China",100,8,25
817,2003-05-02,France,5,0,4
818,2003-05-02,Germany,7,0,7
819,2003-05-02,Indonesia,2,0,1
820,2003-05-02,Italy,9,0,4
821,2003-05-02,Kuwait,1,0,1
822,2003-05-02,Malaysia,6,2,3
823,2003-05-02,Mongolia,8,0,4
824,2003-05-02,New Zealand,1,0,1
825,2003-05-02,Philippines,3,2,1
826,2003-05-02,Poland,1,0,0
827,2003-05-02,Republic of Ireland,1,0,1
828,2003-05-02,Republic of Korea,1,0,0
829,2003-05-02,Romania,1,0,1
830,2003-05-02,Singapore,203,25,146
831,2003-05-02,South Africa,1,0,0
832,2003-05-02,Spain,1,0,1
833,2003-05-02,Sweden,3,0,2
834,2003-05-02,Switzerland,1,0,1
835,2003-05-02,Thailand,7,2,5
836,2003-05-02,United Kingdom,6,0,6
837,2003-05-02,United States,56,0,24
838,2003-05-02,Viet Nam,63,5,56
839,2003-05-03,Brazil,2,0,2
840,2003-05-03,Bulgaria,1,0,0
841,2003-05-03,Canada,149,22,94
842,2003-05-03,China,3971,190,1406
843,2003-05-03,"Hong Kong SAR, China",1621,179,898
844,2003-05-03,"Macao SAR, China",1,0,0
845,2003-05-03,"Taiwan, China",100,8,25
846,2003-05-03,France,5,0,4
847,2003-05-03,Germany,7,0,7
848,2003-05-03,Indonesia,2,0,1
849,2003-05-03,Italy,9,0,4
850,2003-05-03,Kuwait,1,0,1
851,2003-05-03,Malaysia,6,2,3
852,2003-05-03,Mongolia,8,0,4
853,2003-05-03,New Zealand,1,0,1
854,2003-05-03,Philippines,3,2,1
855,2003-05-03,Poland,1,0,0
856,2003-05-03,Republic of Ireland,1,0,1
857,2003-05-03,Republic of Korea,1,0,0
858,2003-05-03,Romania,1,0,1
859,2003-05-03,Singapore,203,25,147
860,2003-05-03,South Africa,1,0,1
861,2003-05-03,Spain,1,0,1
862,2003-05-03,Sweden,3,0,2
863,2003-05-03,Switzerland,1,0,1
864,2003-05-03,Thailand,7,2,5
865,2003-05-03,United Kingdom,6,0,6
866,2003-05-03,United States,54,0,24
867,2003-05-03,Viet Nam,63,5,58
868,2003-05-05,Brazil,2,0,2
869,2003-05-05,Bulgaria,1,0,0
870,2003-05-05,Canada,148,22,93
871,2003-05-05,China,4280,206,1433
872,2003-05-05,"Hong Kong SAR, China",1637,187,930
873,2003-05-05,"Macao SAR, China",1,0,0
874,2003-05-05,"Taiwan, China",116,8,25
875,2003-05-05,France,5,0,4
876,2003-05-05,Germany,7,0,7
877,2003-05-05,Indonesia,2,0,1
878,2003-05-05,Italy,9,0,4
879,2003-05-05,Kuwait,1,0,1
880,2003-05-05,Malaysia,7,2,4
881,2003-05-05,Mongolia,8,0,4
882,2003-05-05,New Zealand,1,0,1
883,2003-05-05,Philippines,3,2,1
884,2003-05-05,Poland,1,0,0
885,2003-05-05,Republic of Ireland,1,0,1
886,2003-05-05,Republic of Korea,1,0,0
887,2003-05-05,Romania,1,0,1
888,2003-05-05,Singapore,204,26,149
889,2003-05-05,South Africa,1,1,0
890,2003-05-05,Spain,1,0,1
891,2003-05-05,Sweden,3,0,2
892,2003-05-05,Switzerland,1,0,1
893,2003-05-05,Thailand,7,2,5
894,2003-05-05,United Kingdom,6,0,6
895,2003-05-05,United States,61,0,26
896,2003-05-05,Viet Nam,63,5,58
897,2003-05-06,Brazil,2,0,2
898,2003-05-06,Bulgaria,1,0,0
899,2003-05-06,Canada,148,22,93
900,2003-05-06,China,4409,214,1460
901,2003-05-06,"Hong Kong SAR, China",1646,193,958
902,2003-05-06,"Macao SAR, China",1,0,0
903,2003-05-06,"Taiwan, China",116,10,25
904,2003-05-06,Colombia,1,0,1
905,2003-05-06,France,5,0,4
906,2003-05-06,Germany,7,0,7
907,2003-05-06,India,1,0,0
908,2003-05-06,Indonesia,2,0,1
909,2003-05-06,Italy,9,0,4
910,2003-05-06,Kuwait,1,0,1
911,2003-05-06,Malaysia,7,2,4
912,2003-05-06,Mongolia,8,0,4
913,2003-05-06,New Zealand,1,0,1
914,2003-05-06,Philippines,3,2,1
915,2003-05-06,Poland,1,0,0
916,2003-05-06,Republic of Ireland,1,0,1
917,2003-05-06,Republic of Korea,1,0,0
918,2003-05-06,Romania,1,0,1
919,2003-05-06,Singapore,204,27,149
920,2003-05-06,South Africa,1,1,0
921,2003-05-06,Spain,1,0,1
922,2003-05-06,Sweden,3,0,2
923,2003-05-06,Switzerland,1,0,1
924,2003-05-06,Thailand,7,2,5
925,2003-05-06,United Kingdom,6,0,6
926,2003-05-06,United States,65,0,32
927,2003-05-06,Viet Nam,63,5,58
928,2003-05-07,Brazil,2,0,2
929,2003-05-07,Bulgaria,1,0,0
930,2003-05-07,Canada,146,22,93
931,2003-05-07,China,4560,219,1487
932,2003-05-07,"Hong Kong SAR, China",1654,204,984
933,2003-05-07,"Macao SAR, China",1,0,0
934,2003-05-07,"Taiwan, China",125,11,26
935,2003-05-07,Colombia,1,0,1
936,2003-05-07,France,6,0,4
937,2003-05-07,Germany,8,0,7
938,2003-05-07,India,1,0,0
939,2003-05-07,Indonesia,2,0,1
940,2003-05-07,Italy,9,0,5
941,2003-05-07,Kuwait,1,0,1
942,2003-05-07,Malaysia,7,2,4
943,2003-05-07,Mongolia,9,0,6
944,2003-05-07,New Zealand,1,0,1
945,2003-05-07,Philippines,10,2,2
946,2003-05-07,Poland,1,0,0
947,2003-05-07,Republic of Ireland,1,0,1
948,2003-05-07,Republic of Korea,1,0,0
949,2003-05-07,Romania,1,0,1
950,2003-05-07,Singapore,204,27,150
951,2003-05-07,South Africa,1,1,0
952,2003-05-07,Spain,1,0,1
953,2003-05-07,Sweden,3,0,2
954,2003-05-07,Switzerland,1,0,1
955,2003-05-07,Thailand,7,2,5
956,2003-05-07,United Kingdom,6,0,6
957,2003-05-07,United States,65,0,32
958,2003-05-07,Viet Nam,63,5,58
959,2003-05-08,Brazil,2,0,2
960,2003-05-08,Bulgaria,1,0,0
961,2003-05-08,Canada,146,22,95
962,2003-05-08,China,4698,224,1529
963,2003-05-08,"Hong Kong SAR, China",1661,208,1008
964,2003-05-08,"Macao SAR, China",1,0,0
965,2003-05-08,"Taiwan, China",131,13,26
966,2003-05-08,Colombia,1,0,1
967,2003-05-08,Finland,1,0,0
968,2003-05-08,France,6,0,4
969,2003-05-08,Germany,8,0,7
970,2003-05-08,India,1,0,0
971,2003-05-08,Indonesia,2,0,1
972,2003-05-08,Italy,9,0,6
973,2003-05-08,Kuwait,1,0,1
974,2003-05-08,Malaysia,7,2,4
975,2003-05-08,Mongolia,9,0,6
976,2003-05-08,New Zealand,1,0,1
977,2003-05-08,Philippines,10,2,2
978,2003-05-08,Poland,1,0,0
979,2003-05-08,Republic of Ireland,1,0,1
980,2003-05-08,Republic of Korea,1,0,1
981,2003-05-08,Romania,1,0,1
982,2003-05-08,Singapore,204,27,153
983,2003-05-08,South Africa,1,1,0
984,2003-05-08,Spain,1,0,1
985,2003-05-08,Sweden,3,0,2
986,2003-05-08,Switzerland,1,0,1
987,2003-05-08,Thailand,7,2,5
988,2003-05-08,United Kingdom,6,0,6
989,2003-05-08,United States,63,0,33
990,2003-05-08,Viet Nam,63,5,58
991,2003-05-09,Brazil,2,0,2
992,2003-05-09,Bulgaria,1,0,0
993,2003-05-09,Canada,145,22,94
994,2003-05-09,China,4805,230,1582
995,2003-05-09,"Hong Kong SAR, China",1667,210,1015
996,2003-05-09,"Macao SAR, China",1,0,0
997,2003-05-09,"Taiwan, China",149,13,26
998,2003-05-09,Colombia,1,0,1
999,2003-05-09,Finland,1,0,0
1000,2003-05-09,France,6,0,4
1001,2003-05-09,Germany,9,0,9
1002,2003-05-09,India,1,0,0
1003,2003-05-09,Indonesia,2,0,1
1004,2003-05-09,Italy,9,0,9
1005,2003-05-09,Kuwait,1,0,1
1006,2003-05-09,Malaysia,6,2,4
1007,2003-05-09,Mongolia,9,0,6
1008,2003-05-09,New Zealand,1,0,1
1009,2003-05-09,Philippines,10,2,2
1010,2003-05-09,Poland,1,0,0
1011,2003-05-09,Republic of Ireland,1,0,1
1012,2003-05-09,Republic of Korea,1,0,1
1013,2003-05-09,Romania,1,0,1
1014,2003-05-09,Singapore,204,27,153
1015,2003-05-09,South Africa,1,1,0
1016,2003-05-09,Spain,1,0,1
1017,2003-05-09,Sweden,3,0,2
1018,2003-05-09,Switzerland,1,0,1
1019,2003-05-09,Thailand,7,2,5
1020,2003-05-09,United Kingdom,6,0,6
1021,2003-05-09,United States,63,0,33
1022,2003-05-09,Viet Nam,63,5,58
1023,2003-05-10,Brazil,2,0,2
1024,2003-05-10,Bulgaria,1,0,0
1025,2003-05-10,Canada,145,22,97
1026,2003-05-10,China,4884,235,1620
1027,2003-05-10,"Hong Kong SAR, China",1674,212,1035
1028,2003-05-10,"Macao SAR, China",1,0,0
1029,2003-05-10,"Taiwan, China",172,18,26
1030,2003-05-10,Colombia,1,0,1
1031,2003-05-10,Finland,1,0,0
1032,2003-05-10,France,7,0,4
1033,2003-05-10,Germany,9,0,9
1034,2003-05-10,India,1,0,0
1035,2003-05-10,Indonesia,2,0,1
1036,2003-05-10,Italy,9,0,9
1037,2003-05-10,Kuwait,1,0,1
1038,2003-05-10,Malaysia,7,2,4
1039,2003-05-10,Mongolia,9,0,6
1040,2003-05-10,New Zealand,1,0,1
1041,2003-05-10,Philippines,10,2,2
1042,2003-05-10,Poland,1,0,0
1043,2003-05-10,Republic of Ireland,1,0,1
1044,2003-05-10,Republic of Korea,1,0,1
1045,2003-05-10,Romania,1,0,1
1046,2003-05-10,Singapore,205,27,155
1047,2003-05-10,South Africa,1,1,0
1048,2003-05-10,Spain,1,0,1
1049,2003-05-10,Sweden,3,0,2
1050,2003-05-10,Switzerland,1,0,1
1051,2003-05-10,Thailand,7,2,5
1052,2003-05-10,United Kingdom,6,0,6
1053,2003-05-10,United States,64,0,34
1054,2003-05-10,Viet Nam,63,5,58
1055,2003-05-12,Brazil,2,0,2
1056,2003-05-12,Bulgaria,1,0,0
1057,2003-05-12,Canada,143,22,98
1058,2003-05-12,China,5013,252,1693
1059,2003-05-12,"Hong Kong SAR, China",1683,218,1066
1060,2003-05-12,"Macao SAR, China",1,0,0
1061,2003-05-12,"Taiwan, China",184,20,26
1062,2003-05-12,Colombia,1,0,1
1063,2003-05-12,Finland,1,0,0
1064,2003-05-12,France,7,0,4
1065,2003-05-12,Germany,9,0,9
1066,2003-05-12,India,1,0,0
1067,2003-05-12,Indonesia,2,0,1
1068,2003-05-12,Italy,9,0,8
1069,2003-05-12,Kuwait,1,0,1
1070,2003-05-12,Malaysia,7,2,4
1071,2003-05-12,Mongolia,9,0,6
1072,2003-05-12,New Zealand,1,0,1
1073,2003-05-12,Philippines,10,2,3
1074,2003-05-12,Poland,1,0,0
1075,2003-05-12,Republic of Ireland,1,0,1
1076,2003-05-12,Republic of Korea,2,0,1
1077,2003-05-12,Romania,1,0,1
1078,2003-05-12,Singapore,205,28,156
1079,2003-05-12,South Africa,1,1,0
1080,2003-05-12,Spain,1,0,1
1081,2003-05-12,Sweden,3,0,2
1082,2003-05-12,Switzerland,1,0,1
1083,2003-05-12,Thailand,7,2,5
1084,2003-05-12,United Kingdom,6,0,6
1085,2003-05-12,United States,64,0,34
1086,2003-05-12,Viet Nam,63,5,58
1087,2003-05-13,Brazil,2,0,2
1088,2003-05-13,Bulgaria,1,0,0
1089,2003-05-13,Canada,143,22,99
1090,2003-05-13,China,5086,262,1765
1091,2003-05-13,"Hong Kong SAR, China",1689,225,1090
1092,2003-05-13,"Macao SAR, China",1,0,0
1093,2003-05-13,"Taiwan, China",207,24,30
1094,2003-05-13,Colombia,1,0,1
1095,2003-05-13,Finland,1,0,0
1096,2003-05-13,France,7,0,4
1097,2003-05-13,Germany,9,0,9
1098,2003-05-13,India,3,0,0
1099,2003-05-13,Indonesia,2,0,1
1100,2003-05-13,Italy,9,0,9
1101,2003-05-13,Kuwait,1,0,1
1102,2003-05-13,Malaysia,7,2,4
1103,2003-05-13,Mongolia,9,0,6
1104,2003-05-13,New Zealand,1,0,1
1105,2003-05-13,Philippines,10,2,3
1106,2003-05-13,Republic of Ireland,1,0,1
1107,2003-05-13,Republic of Korea,2,0,1
1108,2003-05-13,Romania,1,0,1
1109,2003-05-13,Singapore,205,28,157
1110,2003-05-13,South Africa,1,1,0
1111,2003-05-13,Spain,1,0,1
1112,2003-05-13,Sweden,3,0,3
1113,2003-05-13,Switzerland,1,0,1
1114,2003-05-13,Thailand,7,2,5
1115,2003-05-13,United Kingdom,4,0,4
1116,2003-05-13,United States,64,0,35
1117,2003-05-13,Viet Nam,63,5,58
1118,2003-05-14,Brazil,2,0,2
1119,2003-05-14,Bulgaria,1,0,0
1120,2003-05-14,Canada,143,23,104
1121,2003-05-14,China,5124,267,1811
1122,2003-05-14,"Hong Kong SAR, China",1698,227,1128
1123,2003-05-14,"Macao SAR, China",1,0,0
1124,2003-05-14,"Taiwan, China",238,30,38
1125,2003-05-14,Colombia,1,0,1
1126,2003-05-14,Finland,1,0,0
1127,2003-05-14,France,7,0,4
1128,2003-05-14,Germany,9,0,9
1129,2003-05-14,India,3,0,0
1130,2003-05-14,Indonesia,2,0,2
1131,2003-05-14,Italy,9,0,9
1132,2003-05-14,Kuwait,1,0,1
1133,2003-05-14,Malaysia,7,2,5
1134,2003-05-14,Mongolia,9,0,6
1135,2003-05-14,New Zealand,1,0,1
1136,2003-05-14,Philippines,10,2,3
1137,2003-05-14,Republic of Ireland,1,0,1
1138,2003-05-14,Republic of Korea,3,0,1
1139,2003-05-14,Romania,1,0,1
1140,2003-05-14,Singapore,205,28,157
1141,2003-05-14,South Africa,1,1,0
1142,2003-05-14,Spain,1,0,1
1143,2003-05-14,Sweden,3,0,3
1144,2003-05-14,Switzerland,1,0,1
1145,2003-05-14,Thailand,8,2,5
1146,2003-05-14,United Kingdom,4,0,4
1147,2003-05-14,United States,64,0,35
1148,2003-05-14,Viet Nam,63,5,58
1149,2003-05-15,Brazil,2,0,2
1150,2003-05-15,Bulgaria,1,0,0
1151,2003-05-15,Canada,142,23,107
1152,2003-05-15,China,5163,271,1858
1153,2003-05-15,"Hong Kong SAR, China",1703,234,1160
1154,2003-05-15,"Macao SAR, China",1,0,0
1155,2003-05-15,"Taiwan, China",264,30,38
1156,2003-05-15,Colombia,1,0,1
1157,2003-05-15,Finland,1,0,0
1158,2003-05-15,France,7,0,4
1159,2003-05-15,Germany,9,0,9
1160,2003-05-15,India,3,0,3
1161,2003-05-15,Indonesia,2,0,2
1162,2003-05-15,Italy,9,0,9
1163,2003-05-15,Kuwait,1,0,1
1164,2003-05-15,Malaysia,7,2,5
1165,2003-05-15,Mongolia,9,0,7
1166,2003-05-15,New Zealand,1,0,1
1167,2003-05-15,Philippines,12,2,4
1168,2003-05-15,Republic of Ireland,1,0,1
1169,2003-05-15,Republic of Korea,3,0,1
1170,2003-05-15,Romania,1,0,1
1171,2003-05-15,Singapore,205,28,157
1172,2003-05-15,South Africa,1,1,0
1173,2003-05-15,Spain,1,0,1
1174,2003-05-15,Sweden,3,0,3
1175,2003-05-15,Switzerland,1,0,1
1176,2003-05-15,Thailand,8,2,5
1177,2003-05-15,United Kingdom,4,0,4
1178,2003-05-15,United States,64,0,35
1179,2003-05-15,Viet Nam,63,5,58
1180,2003-05-16,Brazil,2,0,2
1181,2003-05-16,Bulgaria,1,0,0
1182,2003-05-16,Canada,140,23,106
1183,2003-05-16,China,5191,275,1947
1184,2003-05-16,"Hong Kong SAR, China",1706,238,1171
1185,2003-05-16,"Macao SAR, China",1,0,0
1186,2003-05-16,"Taiwan, China",274,35,46
1187,2003-05-16,Colombia,1,0,1
1188,2003-05-16,Finland,1,0,0
1189,2003-05-16,France,7,0,4
1190,2003-05-16,Germany,9,0,9
1191,2003-05-16,India,3,0,3
1192,2003-05-16,Indonesia,2,0,2
1193,2003-05-16,Italy,9,0,9
1194,2003-05-16,Kuwait,1,0,1
1195,2003-05-16,Malaysia,7,2,5
1196,2003-05-16,Mongolia,9,0,7
1197,2003-05-16,New Zealand,1,0,1
1198,2003-05-16,Philippines,12,2,4
1199,2003-05-16,Republic of Ireland,1,0,1
1200,2003-05-16,Republic of Korea,3,0,1
1201,2003-05-16,Romania,1,0,1
1202,2003-05-16,Singapore,205,28,157
1203,2003-05-16,South Africa,1,1,0
1204,2003-05-16,Spain,1,0,1
1205,2003-05-16,Sweden,3,0,3
1206,2003-05-16,Switzerland,1,0,1
1207,2003-05-16,Thailand,8,2,5
1208,2003-05-16,United Kingdom,4,0,4
1209,2003-05-16,United States,65,0,34
1210,2003-05-16,Viet Nam,63,5,58
1211,2003-05-17,Brazil,2,0,2
1212,2003-05-17,Canada,140,23,106
1213,2003-05-17,China,5209,282,2009
1214,2003-05-17,"Hong Kong SAR, China",1710,243,1191
1215,2003-05-17,"Macao SAR, China",1,0,0
1216,2003-05-17,"Taiwan, China",274,35,46
1217,2003-05-17,Colombia,1,0,1
1218,2003-05-17,Finland,1,0,0
1219,2003-05-17,France,7,0,6
1220,2003-05-17,Germany,9,0,9
1221,2003-05-17,India,3,0,3
1222,2003-05-17,Indonesia,2,0,2
1223,2003-05-17,Italy,9,0,9
1224,2003-05-17,Kuwait,1,0,1
1225,2003-05-17,Malaysia,7,2,5
1226,2003-05-17,Mongolia,9,0,7
1227,2003-05-17,New Zealand,1,0,1
1228,2003-05-17,Philippines,12,2,4
1229,2003-05-17,Republic of Ireland,1,0,1
1230,2003-05-17,Republic of Korea,3,0,1
1231,2003-05-17,Romania,1,0,1
1232,2003-05-17,Singapore,205,28,157
1233,2003-05-17,South Africa,1,1,0
1234,2003-05-17,Spain,1,0,1
1235,2003-05-17,Sweden,3,0,3
1236,2003-05-17,Switzerland,1,0,1
1237,2003-05-17,Thailand,8,2,5
1238,2003-05-17,United Kingdom,4,0,4
1239,2003-05-17,United States,66,0,34
1240,2003-05-17,Viet Nam,63,5,58
1241,2003-05-19,Brazil,2,0,2
1242,2003-05-19,Canada,140,23,106
1243,2003-05-19,China,5236,289,2148
1244,2003-05-19,"Hong Kong SAR, China",1714,251,1213
1245,2003-05-19,"Macao SAR, China",1,0,0
1246,2003-05-19,"Taiwan, China",344,40,50
1247,2003-05-19,Colombia,1,0,1
1248,2003-05-19,Finland,1,0,0
1249,2003-05-19,France,7,0,6
1250,2003-05-19,Germany,9,0,9
1251,2003-05-19,India,3,0,3
1252,2003-05-19,Indonesia,2,0,2
1253,2003-05-19,Italy,9,0,9
1254,2003-05-19,Kuwait,1,0,1
1255,2003-05-19,Malaysia,7,2,5
1256,2003-05-19,Mongolia,9,0,8
1257,2003-05-19,New Zealand,1,0,1
1258,2003-05-19,Philippines,12,2,8
1259,2003-05-19,Republic of Ireland,1,0,1
1260,2003-05-19,Republic of Korea,3,0,1
1261,2003-05-19,Romania,1,0,1
1262,2003-05-19,Singapore,206,28,160
1263,2003-05-19,South Africa,1,1,0
1264,2003-05-19,Spain,1,0,1
1265,2003-05-19,Sweden,3,0,3
1266,2003-05-19,Switzerland,1,0,1
1267,2003-05-19,Thailand,8,2,5
1268,2003-05-19,United Kingdom,4,0,4
1269,2003-05-19,United States,67,0,34
1270,2003-05-19,Viet Nam,63,5,58
1271,2003-05-20,Brazil,2,0,2
1272,2003-05-20,Canada,140,23,106
1273,2003-05-20,China,5248,294,2254
1274,2003-05-20,"Hong Kong SAR, China",1718,253,1229
1275,2003-05-20,"Macao SAR, China",1,0,0
1276,2003-05-20,"Taiwan, China",383,52,63
1277,2003-05-20,Colombia,1,0,1
1278,2003-05-20,Finland,1,0,0
1279,2003-05-20,France,7,0,6
1280,2003-05-20,Germany,9,0,9
1281,2003-05-20,India,3,0,3
1282,2003-05-20,Indonesia,2,0,2
1283,2003-05-20,Italy,9,0,9
1284,2003-05-20,Kuwait,1,0,1
1285,2003-05-20,Malaysia,7,2,5
1286,2003-05-20,Mongolia,9,0,8
1287,2003-05-20,New Zealand,1,0,1
1288,2003-05-20,Philippines,12,2,8
1289,2003-05-20,Republic of Ireland,1,0,1
1290,2003-05-20,Republic of Korea,3,0,2
1291,2003-05-20,Romania,1,0,1
1292,2003-05-20,Singapore,206,28,161
1293,2003-05-20,South Africa,1,1,0
1294,2003-05-20,Spain,1,0,1
1295,2003-05-20,Sweden,3,0,3
1296,2003-05-20,Switzerland,1,0,1
1297,2003-05-20,Thailand,8,2,5
1298,2003-05-20,United Kingdom,4,0,4
1299,2003-05-20,United States,67,0,34
1300,2003-05-20,Viet Nam,63,5,58
1301,2003-05-21,Brazil,2,0,2
1302,2003-05-21,Canada,140,23,108
1303,2003-05-21,China,5249,296,2335
1304,2003-05-21,"Hong Kong SAR, China",1719,255,1237
1305,2003-05-21,"Macao SAR, China",1,0,0
1306,2003-05-21,"Taiwan, China",418,52,71
1307,2003-05-21,Colombia,1,0,1
1308,2003-05-21,Finland,1,0,1
1309,2003-05-21,France,7,0,6
1310,2003-05-21,Germany,9,0,9
1311,2003-05-21,India,3,0,3
1312,2003-05-21,Indonesia,2,0,2
1313,2003-05-21,Italy,9,0,9
1314,2003-05-21,Kuwait,1,0,1
1315,2003-05-21,Malaysia,8,2,5
1316,2003-05-21,Mongolia,9,0,8
1317,2003-05-21,New Zealand,1,0,1
1318,2003-05-21,Philippines,12,2,10
1319,2003-05-21,Republic of Ireland,1,0,1
1320,2003-05-21,Republic of Korea,3,0,2
1321,2003-05-21,Romania,1,0,1
1322,2003-05-21,Singapore,206,28,161
1323,2003-05-21,South Africa,1,1,0
1324,2003-05-21,Spain,1,0,1
1325,2003-05-21,Sweden,3,0,3
1326,2003-05-21,Switzerland,1,0,1
1327,2003-05-21,Thailand,8,2,5
1328,2003-05-21,United Kingdom,4,0,4
1329,2003-05-21,United States,66,0,33
1330,2003-05-21,Viet Nam,63,5,58
1331,2003-05-22,Australia,6,0,6
